0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16,"$O$ METXL TAB 50MG,20'S
(Inv.Ref.No.-8060961885,2021)",3004907,BL,GT0581D,1.00,Mar-2024,129.65,103.72,93.35,0.00,93.35,0,0.00,0,0.00,93.35
17,"CINOD BETA TAB 10/50MG,15'S
(Inv.Ref.No.-8060966615,2022)",3004907,BL,GT00662,1.00,Jan-2024,164.00,131.20,118.08,0.00,118.08,0,0.00,0,0.00,118.08
18,"CINOD TAB 5MG,20'S
(Inv.Ref.No.-8060968021,2022)",3004907,BL,GT03132,1.00,Feb-2024,138.00,110.40,99.36,0.00,99.36,0,0.00,0,0.00,99.36
19,"CINOD TAB 10MG,20'S
(Inv.Ref.No.-8060968673,2022)",3004907,BL,GT03262,1.00,Feb-2024,237.00,189.60,170.64,0.00,170.64,0,0.00,0,0.00,170.64
20,"CINOD TAB 10MG,20'S
(Inv.Ref.No.-8060968561,2022)",3004907,BL,GT03252,1.00,Feb-2024,237.00,189.60,170.64,0.00,170.64,0,0.00,0,0.00,170.64
21,"ATORFIT TAB 20MG,15
(Inv.Ref.No.-8060963301,2021)",3004909,BL,KB0011A,1.00,Dec-2023,130.73,104.58,94.12,0.00,94.12,0,0.00,0,0.00,94.12
22,"TIBAN M TAB 20/500MG,15
(Inv.Ref.No.-8060968673,2022)",3004909,BL,GT03762,1.00,Feb-2024,250.00,200.00,180.00,0.00,180.00,0,0.00,0,0.00,180.00
23,"ATORFIT TAB 10MG,15
(Inv.Ref.No.-8060962929,2021)",3004909,BL,GT1071D,3.00,Mar-2024,78.87,63.10,56.79,0.00,170.37,0,0.00,0,0.00,170.37
24,"ATORFIT TAB 10MG,15
(Inv.Ref.No.-8060962020,2021)",3004909,BL,GT0871D,3.00,Mar-2024,78.87,63.10,56.79,0.00,170.37,0,0.00,0,0.00,170.37
25,"URISOFT SOFTGEL CAP,15'S
(Inv.Ref.No.-8060963301,2021)",3004909,BL,FB3026,2.00,Jul-2023,176.00,140.80,126.72,253.44,0.00,0,0.00,0,0.00,253.44
26,"$O$ BIDIN T EYE DROPS,5ML
(Inv.Ref.No.-8060966449,2022)",3004909,VL,GT01872,1.00,Jan-2024,193.00,154.40,138.96,0.00,138.96,0,0.00,0,0.00,138.96
27,"ROSUFIT TAB 20MG,15
(Inv.Ref.No.-8060968404,2022)",3004909,STP,MA0021L,1.00,Nov-2023,294.00,235.20,211.68,0.00,211.68,0,0.00,0,0.00,211.68
